,Caffeination,Catch up on what happened,Check the food provisions,Clean a spill,Clean the place,Clean up,Cooking,Dry your clothes,Eating,Food and accomodations,Friends arrives at home,Get and fold the laundry,Get home,"Grab cream, sugar and snacks",Health activity,Morning exercise,Perk up with coffee,Play a board game,Prepare breakfast,Read and wait,Relaxing,Room Decoration,Set the table and eat,Share some vides,Straighten up,Talk about the day,Texting and Reading,The home tour,Time to go,Video game break,Waking up,Wash the clothes,Watch TV
Caffeination,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Catch up on what happened,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Check the food provisions,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0
Clean a spill,0,0,0,41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
Clean the place,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean up,0,0,0,0,0,35,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,1
Dry your clothes,0,0,0,0,0,0,0,33,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0
Eating,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food and accomodations,5,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Friends arrives at home,2,0,0,0,0,0,0,0,0,7,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Get and fold the laundry,0,0,0,0,0,0,0,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Get home,3,0,0,0,0,0,0,0,0,0,1,0,38,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"Grab cream, sugar and snacks",0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Health activity,3,0,0,0,0,0,0,0,0,0,0,0,2,2,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Morning exercise,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Perk up with coffee,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Play a board game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prepare breakfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Read and wait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,0,2,0,0,0,0,0
Relaxing,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0
Room Decoration,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
Set the table and eat,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,1,0,0,0,0,0,0,0
Share some vides,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0
Straighten up,0,0,1,0,0,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0
Talk about the day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,39,1,0,0,0,0,0,2
Texting and Reading,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
The home tour,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37,4,0,0,0,0
Time to go,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,32,0,0,0,0
Video game break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
Waking up,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0
Wash the clothes,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
Watch TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
